sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	bioproject_id	project_title	project_description	sample_source	library_strategy	library_source	library_selection	platform	instrument_model	env_biome	env_feature	env_material	file_number		
E2Jenny02			metagenome	Homo sapiens	stool	1/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				12		
E2Jenny03			metagenome	Homo sapiens	stool	9/28/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				13		
E2Jenny1			metagenome	Homo sapiens	stool	12/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				14		
E3Heidi5			metagenome	Homo sapiens	stool	4/27/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				15		
E3Jenny02			metagenome	Homo sapiens	stool	12/18/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				16		
E3Jenny03			metagenome	Homo sapiens	stool	9/30/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				17		
E3Jenny1			metagenome	Homo sapiens	stool	12/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				18		
E4Heidi5			metagenome	Homo sapiens	stool	5/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				19		
E4Jenny02			metagenome	Homo sapiens	stool	12/16/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				20		
E4Jenny1			metagenome	Homo sapiens	stool	10/1/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				21		
E5Heidi5			metagenome	Homo sapiens	stool	4/30/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				22		
E5Jenny02			metagenome	Homo sapiens	stool	1/15/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				23		
E5Jenny03			metagenome	Homo sapiens	stool	10/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				24		
E5Jenny1			metagenome	Homo sapiens	stool	12/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				25		
E6Heidi5			metagenome	Homo sapiens	stool	5/9/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				26		
E6Jenny02			metagenome	Homo sapiens	stool	1/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				27		
E6Jenny03			metagenome	Homo sapiens	stool	10/2/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				28		
E6Jenny1			metagenome	Homo sapiens	stool	12/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				29		
E7Heidi5			metagenome	Homo sapiens	stool	5/14/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				30		
E7Jenny02			metagenome	Homo sapiens	stool	12/13/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				31		
E7Jenny03			metagenome	Homo sapiens	stool	10/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				32		
E7Jenny1			metagenome	Homo sapiens	stool	12/14/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				33		
E8Heidi5			metagenome	Homo sapiens	stool	5/18/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				34		
E8Jenny02			metagenome	Homo sapiens	stool	12/18/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				35		
E8Jenny03			metagenome	Homo sapiens	stool	10/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				36		
E8Jenny1			metagenome	Homo sapiens	stool	12/13/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				37		
E9Heidi5			metagenome	Homo sapiens	stool	5/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				38		
E9Jenny02			metagenome	Homo sapiens	stool	1/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				39		
E9Jenny1			metagenome	Homo sapiens	stool	10/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				40		
F10Jenny02			metagenome	Homo sapiens	stool	12/18/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				41		
F10Jenny03			metagenome	Homo sapiens	stool	8/15/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				42		
F10Jenny1			metagenome	Homo sapiens	stool	10/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				43		
F11Jenny02			metagenome	Homo sapiens	stool	1/18/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				44		
F11Jenny03			metagenome	Homo sapiens	stool	8/22/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				45		
F11Jenny1			metagenome	Homo sapiens	stool	10/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				46		
F12Jenny02			metagenome	Homo sapiens	stool	1/17/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				47		
F12Jenny03			metagenome	Homo sapiens	stool	8/23/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				48		
F12Jenny1			metagenome	Homo sapiens	stool	10/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				49		
F1Jenny02			metagenome	Homo sapiens	stool	1/18/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				50		
F1Jenny03			metagenome	Homo sapiens	stool	8/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				51		
F1Jenny1			metagenome	Homo sapiens	stool	10/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				52		
F2Heidi5			metagenome	Homo sapiens	stool	12/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				53		
F2Jenny02			metagenome	Homo sapiens	stool	8/15/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				54		
F2Jenny03			metagenome	Homo sapiens	stool	12/6/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				55		
F2Jenny1			metagenome	Homo sapiens	stool	10/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				56		
F3Jenny02			metagenome	Homo sapiens	stool	12/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				57		
F3Jenny03			metagenome	Homo sapiens	stool	8/15/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				58		
F3Jenny1			metagenome	Homo sapiens	stool	10/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				59		
F4Jenny02			metagenome	Homo sapiens	stool	12/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				60		
F4Jenny03			metagenome	Homo sapiens	stool	8/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				61		
F4Jenny1			metagenome	Homo sapiens	stool	10/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				62		
F5Jenny02			metagenome	Homo sapiens	stool	12/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				63		
F5Jenny03			metagenome	Homo sapiens	stool	8/18/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				64		
F5Jenny1			metagenome	Homo sapiens	stool	10/5/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				65		
F6Jenny02			metagenome	Homo sapiens	stool	12/26/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				66		
F6Jenny03			metagenome	Homo sapiens	stool	8/16/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				67		
F6Jenny1			metagenome	Homo sapiens	stool	10/9/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				68		
F7Jenny02			metagenome	Homo sapiens	stool	12/27/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				69		
F7Jenny03			metagenome	Homo sapiens	stool	8/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				70		
F7Jenny1			metagenome	Homo sapiens	stool	10/9/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				71		
F8Jenny02			metagenome	Homo sapiens	stool	12/28/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				72		
F8Jenny03			metagenome	Homo sapiens	stool	8/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				73		
F8Jenny1			metagenome	Homo sapiens	stool	10/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				74		
F9Jenny02			metagenome	Homo sapiens	stool	12/28/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				75		
F9Jenny03			metagenome	Homo sapiens	stool	8/22/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				76		
F9Jenny1			metagenome	Homo sapiens	stool	10/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				77		
G10Jenny1			metagenome	Homo sapiens	stool	12/28/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				78		
G11Jenny1			metagenome	Homo sapiens	stool	8/23/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				79		
G12Jenny02			metagenome	Homo sapiens	stool	6/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				80		
G1Jenny02			metagenome	Homo sapiens	stool	6/25/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				81		
G1Jenny03			metagenome	Homo sapiens	stool	11/7/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				82		
G1Jenny1			metagenome	Homo sapiens	stool	10/22/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				83		
G2Jenny02			metagenome	Homo sapiens	stool	1/23/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				84		
G2Jenny03			metagenome	Homo sapiens	stool	8/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				85		
G2Jenny1			metagenome	Homo sapiens	stool	10/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				86		
G3Jenny1			metagenome	Homo sapiens	stool	1/21/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				87		
G4Jenny02			metagenome	Homo sapiens	stool	8/31/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				88		
G4Jenny1			metagenome	Homo sapiens	stool	8/30/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				89		
G5Jenny02			metagenome	Homo sapiens	stool	10/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				90		
G5Jenny1			metagenome	Homo sapiens	stool	8/31/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				91		
G6Jenny02			metagenome	Homo sapiens	stool	10/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				92		
G6Jenny1			metagenome	Homo sapiens	stool	9/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				93		
G7Jenny02			metagenome	Homo sapiens	stool	10/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				94		
G7Jenny1			metagenome	Homo sapiens	stool	9/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				95		
G8Jenny02			metagenome	Homo sapiens	stool	10/30/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				96		
G8Jenny1			metagenome	Homo sapiens	stool	9/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				97		
G9Jenny1			metagenome	Homo sapiens	stool	11/1/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				98		
H10Jenny02			metagenome	Homo sapiens	stool	9/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				99		
H10Jenny1			metagenome	Homo sapiens	stool	9/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				100		
H11Jenny02			metagenome	Homo sapiens	stool	11/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				101		
H11Jenny1			metagenome	Homo sapiens	stool	6/27/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				102		
H12Jenny1			metagenome	Homo sapiens	stool	11/27/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				103		
H1Jenny02			metagenome	Homo sapiens	stool	8/9/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				104		
H1Jenny1			metagenome	Homo sapiens	stool	8/9/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				105		
H2Jenny02			metagenome	Homo sapiens	stool	11/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				106		
H3Jenny02			metagenome	Homo sapiens	stool	6/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				107		
H3Jenny1			metagenome	Homo sapiens	stool	11/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				108		
H4Jenny02			metagenome	Homo sapiens	stool	11/14/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				109		
H4Jenny1			metagenome	Homo sapiens	stool	6/23/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000				110		
