sample_name	collection_date	project_title		project_title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
B3Jenny02	7/19/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B3Jenny02_R1.fastq.gz	B3Jenny02_R2.fastq.gz						
B3Jenny03	12/4/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B3Jenny03_R1.fastq.gz	B3Jenny03_R2.fastq.gz						
B3Jenny1	3/2/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B3Jenny1_R1.fastq.gz	B3Jenny1_R2.fastq.gz						
B4Jenny02	7/17/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B4Jenny02_R1.fastq.gz	B4Jenny02_R2.fastq.gz						
B4Jenny03	12/4/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B4Jenny03_R1.fastq.gz	B4Jenny03_R2.fastq.gz						
B4Jenny1	2/8/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B4Jenny1_R1.fastq.gz	B4Jenny1_R2.fastq.gz						
B5Jenny02	7/12/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B5Jenny02_R1.fastq.gz	B5Jenny02_R2.fastq.gz						
B5Jenny03	12/5/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B5Jenny03_R1.fastq.gz	B5Jenny03_R2.fastq.gz						
B5Jenny1	2/6/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B5Jenny1_R1.fastq.gz	B5Jenny1_R2.fastq.gz						
B6Jenny02	7/14/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B6Jenny02_R1.fastq.gz	B6Jenny02_R2.fastq.gz						
B6Jenny03	12/7/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B6Jenny03_R1.fastq.gz	B6Jenny03_R2.fastq.gz						
B6Jenny1	3/6/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B6Jenny1_R1.fastq.gz	B6Jenny1_R2.fastq.gz						
B7Jenny02	7/11/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B7Jenny02_R1.fastq.gz	B7Jenny02_R2.fastq.gz						
B7Jenny1	3/27/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B7Jenny1_R1.fastq.gz	B7Jenny1_R2.fastq.gz						
B8Jenny02	7/7/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B8Jenny02_R1.fastq.gz	B8Jenny02_R2.fastq.gz						
B8Jenny03	12/6/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B8Jenny03_R1.fastq.gz	B8Jenny03_R2.fastq.gz						
B8Jenny1	4/10/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B8Jenny1_R1.fastq.gz	B8Jenny1_R2.fastq.gz						
B9Jenny02	7/5/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B9Jenny02_R1.fastq.gz	B9Jenny02_R2.fastq.gz						
B9Jenny1	4/9/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B9Jenny1_R1.fastq.gz	B9Jenny1_R2.fastq.gz						
C10Jenny02	6/16/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C10Jenny02_R1.fastq.gz	C10Jenny02_R2.fastq.gz						
C10Jenny03	1/7/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C10Jenny03_R1.fastq.gz	C10Jenny03_R2.fastq.gz						
C10Jenny1	3/1/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C10Jenny1_R1.fastq.gz	C10Jenny1_R2.fastq.gz						
C11Jenny02	6/15/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C11Jenny02_R1.fastq.gz	C11Jenny02_R2.fastq.gz						
C11Jenny03	1/8/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C11Jenny03_R1.fastq.gz	C11Jenny03_R2.fastq.gz						
C11Jenny1	1/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C11Jenny1_R1.fastq.gz	C11Jenny1_R2.fastq.gz						
C12Jenny02	6/19/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C12Jenny02_R1.fastq.gz	C12Jenny02_R2.fastq.gz						
C12Jenny03	1/8/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C12Jenny03_R1.fastq.gz	C12Jenny03_R2.fastq.gz						
C12Jenny1	3/1/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C12Jenny1_R1.fastq.gz	C12Jenny1_R2.fastq.gz						
C1Jenny02	9/12/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C1Jenny02_R1.fastq.gz	C1Jenny02_R2.fastq.gz						
C1Jenny1	4/6/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C1Jenny1_R1.fastq.gz	C1Jenny1_R2.fastq.gz						
C2Jenny02	9/12/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C2Jenny02_R1.fastq.gz	C2Jenny02_R2.fastq.gz						
C2Jenny03	1/2/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C2Jenny03_R1.fastq.gz	C2Jenny03_R2.fastq.gz						
C2Jenny1	4/4/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C2Jenny1_R1.fastq.gz	C2Jenny1_R2.fastq.gz						
C3Jenny02	9/13/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C3Jenny02_R1.fastq.gz	C3Jenny02_R2.fastq.gz						
C3Jenny03	1/2/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C3Jenny03_R1.fastq.gz	C3Jenny03_R2.fastq.gz						
C3Jenny1	2/12/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C3Jenny1_R1.fastq.gz	C3Jenny1_R2.fastq.gz						
C4Jenny02	9/17/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C4Jenny02_R1.fastq.gz	C4Jenny02_R2.fastq.gz						
C4Jenny03	1/2/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C4Jenny03_R1.fastq.gz	C4Jenny03_R2.fastq.gz						
C4Jenny1	1/25/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C4Jenny1_R1.fastq.gz	C4Jenny1_R2.fastq.gz						
C5Jenny02	9/14/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C5Jenny02_R1.fastq.gz	C5Jenny02_R2.fastq.gz						
C5Jenny03	1/3/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C5Jenny03_R1.fastq.gz	C5Jenny03_R2.fastq.gz						
C5Jenny1	3/29/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C5Jenny1_R1.fastq.gz	C5Jenny1_R2.fastq.gz						
C6Jenny02	9/20/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C6Jenny02_R1.fastq.gz	C6Jenny02_R2.fastq.gz						
C6Jenny03	1/3/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C6Jenny03_R1.fastq.gz	C6Jenny03_R2.fastq.gz						
C6Jenny1	4/2/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C6Jenny1_R1.fastq.gz	C6Jenny1_R2.fastq.gz						
C7Jenny03	1/5/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C7Jenny03_R1.fastq.gz	C7Jenny03_R2.fastq.gz						
C7Jenny1	3/13/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C7Jenny1_R1.fastq.gz	C7Jenny1_R2.fastq.gz						
C8Jenny02	9/19/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C8Jenny02_R1.fastq.gz	C8Jenny02_R2.fastq.gz						
C8Jenny03	1/4/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C8Jenny03_R1.fastq.gz	C8Jenny03_R2.fastq.gz						
C8Jenny1	4/3/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C8Jenny1_R1.fastq.gz	C8Jenny1_R2.fastq.gz						
C9Jenny02	7/6/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C9Jenny02_R1.fastq.gz	C9Jenny02_R2.fastq.gz						
C9Jenny03	1/5/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C9Jenny03_R1.fastq.gz	C9Jenny03_R2.fastq.gz						
C9Jenny1	3/15/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		C9Jenny1_R1.fastq.gz	C9Jenny1_R2.fastq.gz						
D10Heidi5	1/3/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D10Heidi5_R1.fastq.gz	D10Heidi5_R2.fastq.gz						
D10Jenny02	9/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D10Jenny02_R1.fastq.gz	D10Jenny02_R2.fastq.gz						
D10Jenny03	12/10/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D10Jenny03_R1.fastq.gz	D10Jenny03_R2.fastq.gz						
D10Jenny1	5/16/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D10Jenny1_R1.fastq.gz	D10Jenny1_R2.fastq.gz						
D11Heidi5	1/17/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D11Heidi5_R1.fastq.gz	D11Heidi5_R2.fastq.gz						
D11Jenny02	9/26/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D11Jenny02_R1.fastq.gz	D11Jenny02_R2.fastq.gz						
D11Jenny03	12/10/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D11Jenny03_R1.fastq.gz	D11Jenny03_R2.fastq.gz						
D11Jenny1	5/21/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D11Jenny1_R1.fastq.gz	D11Jenny1_R2.fastq.gz						
D12Heidi5	1/19/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		D12Heidi5_R1.fastq.gz	D12Heidi5_R2.fastq.gz						
