sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	bioproject_id	project_title	project_description	sample_source	library_strategy	library_source	library_selection	platform	instrument_model	env_biome	env_feature	env_material	file_number
Aged3	Aged mouse baseline 3		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				11
Aged4	Aged mouse baseline 4		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				12
Aged5	Aged mouse baseline 5		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				13
Aged6	Aged mouse baseline 6		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				14
Aged7	Aged mouse baseline 7		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				15
1.Yng3days	Young mouse 1 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				16
2.Yng3days	Young mouse 2 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				17
3.Yng3days	Young mouse 3 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				18
4.Yng3days	Young mouse 4 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				19
5.Yng3days	Young mouse 5 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				20
6.Yng3days	Young mouse 6 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				21
7.Yng3days	Young mouse 7 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				22
8.Yng3days	Young mouse 8 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				23
1.Aged3days	Aged mouse 1 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				24
2.Aged3days	Aged mouse 2 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				25
3.Aged3days	Aged mouse 3 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				26
4.Aged3days	Aged mouse 4 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				27
5.Aged3days	Aged mouse 5 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				28
6.Aged3days	Aged mouse 6 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				29
7.Aged3days	Aged mouse 7 day 3 post-treatment		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				30
YY1	Young-to-Young transfer 1		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				31
YY2	Young-to-Young transfer 2		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				32
YY3	Young-to-Young transfer 3		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				33
YY4	Young-to-Young transfer 4		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				34
YA1	Young-to-Aged transfer 1		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				35
YA2	Young-to-Aged transfer 2		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				36
YA3	Young-to-Aged transfer 3		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				37
YA4	Young-to-Aged transfer 4		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				38
AY1	Aged-to-Young transfer 1		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				39
AY2	Aged-to-Young transfer 2		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				40
AY3	Aged-to-Young transfer 3		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				41
AY4	Aged-to-Young transfer 4		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				42
AA1	Aged-to-Aged transfer 1		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				43
AA2	Aged-to-Aged transfer 2		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				44
AA3	Aged-to-Aged transfer 3		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				45
