sample_name,library_ID,title,library_strategy,library_source,library_selection,library_layout,platform,instrument_model,design_description,filetype,filename,filename2,filename3,filename4,assembly,fasta_file
N06_1_3,N06_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N06_1_3_R1.fastq.gz,N06_1_3_R2.fastq.gz,,,,
N06_1_4,N06_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N06_1_4_R1.fastq.gz,N06_1_4_R2.fastq.gz,,,,
N07_1_2,N07_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N07_1_2_R1.fastq.gz,N07_1_2_R2.fastq.gz,,,,
N07_1_3,N07_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N07_1_3_R1.fastq.gz,N07_1_3_R2.fastq.gz,,,,
N07_1_4,N07_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N07_1_4_R1.fastq.gz,N07_1_4_R2.fastq.gz,,,,
N07_2_2,N07_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N07_2_2_R1.fastq.gz,N07_2_2_R2.fastq.gz,,,,
N07_2_3,N07_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N07_2_3_R1.fastq.gz,N07_2_3_R2.fastq.gz,,,,
N07_2_4,N07_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N07_2_4_R1.fastq.gz,N07_2_4_R2.fastq.gz,,,,
N08_1_2,N08_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N08_1_2_R1.fastq.gz,N08_1_2_R2.fastq.gz,,,,
N08_1_3,N08_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N08_1_3_R1.fastq.gz,N08_1_3_R2.fastq.gz,,,,
N08_1_4,N08_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N08_1_4_R1.fastq.gz,N08_1_4_R2.fastq.gz,,,,
N08_2_2,N08_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N08_2_2_R1.fastq.gz,N08_2_2_R2.fastq.gz,,,,
N08_2_3,N08_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N08_2_3_R1.fastq.gz,N08_2_3_R2.fastq.gz,,,,
N08_2_4,N08_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N08_2_4_R1.fastq.gz,N08_2_4_R2.fastq.gz,,,,
N09_1_2,N09_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N09_1_2_R1.fastq.gz,N09_1_2_R2.fastq.gz,,,,
N09_1_3,N09_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N09_1_3_R1.fastq.gz,N09_1_3_R2.fastq.gz,,,,
N09_1_4,N09_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N09_1_4_R1.fastq.gz,N09_1_4_R2.fastq.gz,,,,
N09_2_2,N09_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N09_2_2_R1.fastq.gz,N09_2_2_R2.fastq.gz,,,,
N09_2_3,N09_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N09_2_3_R1.fastq.gz,N09_2_3_R2.fastq.gz,,,,
N09_2_4,N09_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N09_2_4_R1.fastq.gz,N09_2_4_R2.fastq.gz,,,,
N10_1_2,N10_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N10_1_2_R1.fastq.gz,N10_1_2_R2.fastq.gz,,,,
N10_1_3,N10_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N10_1_3_R1.fastq.gz,N10_1_3_R2.fastq.gz,,,,
N10_1_4,N10_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N10_1_4_R1.fastq.gz,N10_1_4_R2.fastq.gz,,,,
N10_2_2,N10_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N10_2_2_R1.fastq.gz,N10_2_2_R2.fastq.gz,,,,
N10_2_3,N10_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N10_2_3_R1.fastq.gz,N10_2_3_R2.fastq.gz,,,,
N10_2_4,N10_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N10_2_4_R1.fastq.gz,N10_2_4_R2.fastq.gz,,,,
N11_1_2,N11_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N11_1_2_R1.fastq.gz,N11_1_2_R2.fastq.gz,,,,
N11_1_3,N11_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N11_1_3_R1.fastq.gz,N11_1_3_R2.fastq.gz,,,,
N11_1_4,N11_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N11_1_4_R1.fastq.gz,N11_1_4_R2.fastq.gz,,,,
N11_2_2,N11_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N11_2_2_R1.fastq.gz,N11_2_2_R2.fastq.gz,,,,
N11_2_3,N11_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N11_2_3_R1.fastq.gz,N11_2_3_R2.fastq.gz,,,,
N11_2_4,N11_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N11_2_4_R1.fastq.gz,N11_2_4_R2.fastq.gz,,,,
N12_1_2,N12_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N12_1_2_R1.fastq.gz,N12_1_2_R2.fastq.gz,,,,
N12_1_3,N12_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N12_1_3_R1.fastq.gz,N12_1_3_R2.fastq.gz,,,,
N12_1_4,N12_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N12_1_4_R1.fastq.gz,N12_1_4_R2.fastq.gz,,,,
N13_1_2,N13_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N13_1_2_R1.fastq.gz,N13_1_2_R2.fastq.gz,,,,
N13_1_3,N13_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N13_1_3_R1.fastq.gz,N13_1_3_R2.fastq.gz,,,,
N13_1_4,N13_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N13_1_4_R1.fastq.gz,N13_1_4_R2.fastq.gz,,,,
N13_2_2,N13_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N13_2_2_R1.fastq.gz,N13_2_2_R2.fastq.gz,,,,
N13_2_3,N13_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N13_2_3_R1.fastq.gz,N13_2_3_R2.fastq.gz,,,,
N13_2_4,N13_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N13_2_4_R1.fastq.gz,N13_2_4_R2.fastq.gz,,,,
N14_1_2,N14_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N14_1_2_R1.fastq.gz,N14_1_2_R2.fastq.gz,,,,
N14_1_3,N14_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N14_1_3_R1.fastq.gz,N14_1_3_R2.fastq.gz,,,,
N14_1_4,N14_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N14_1_4_R1.fastq.gz,N14_1_4_R2.fastq.gz,,,,
N14_2_2,N14_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N14_2_2_R1.fastq.gz,N14_2_2_R2.fastq.gz,,,,
N14_2_3,N14_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N14_2_3_R1.fastq.gz,N14_2_3_R2.fastq.gz,,,,
N14_2_4,N14_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N14_2_4_R1.fastq.gz,N14_2_4_R2.fastq.gz,,,,
N15_1_2,N15_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N15_1_2_R1.fastq.gz,N15_1_2_R2.fastq.gz,,,,
N15_1_3,N15_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N15_1_3_R1.fastq.gz,N15_1_3_R2.fastq.gz,,,,
N15_1_4,N15_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N15_1_4_R1.fastq.gz,N15_1_4_R2.fastq.gz,,,,
N15_2_2,N15_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N15_2_2_R1.fastq.gz,N15_2_2_R2.fastq.gz,,,,
N15_2_3,N15_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N15_2_3_R1.fastq.gz,N15_2_3_R2.fastq.gz,,,,
N15_2_4,N15_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N15_2_4_R1.fastq.gz,N15_2_4_R2.fastq.gz,,,,
N16_1_2,N16_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N16_1_2_R1.fastq.gz,N16_1_2_R2.fastq.gz,,,,
N16_1_3,N16_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N16_1_3_R1.fastq.gz,N16_1_3_R2.fastq.gz,,,,
N16_1_4,N16_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N16_1_4_R1.fastq.gz,N16_1_4_R2.fastq.gz,,,,
N16_2_2,N16_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N16_2_2_R1.fastq.gz,N16_2_2_R2.fastq.gz,,,,
N16_2_3,N16_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N16_2_3_R1.fastq.gz,N16_2_3_R2.fastq.gz,,,,
N16_2_4,N16_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N16_2_4_R1.fastq.gz,N16_2_4_R2.fastq.gz,,,,
N17_1_2,N17_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N17_1_2_R1.fastq.gz,N17_1_2_R2.fastq.gz,,,,
N17_1_3,N17_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N17_1_3_R1.fastq.gz,N17_1_3_R2.fastq.gz,,,,
N17_1_4,N17_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N17_1_4_R1.fastq.gz,N17_1_4_R2.fastq.gz,,,,
N17_2_2,N17_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N17_2_2_R1.fastq.gz,N17_2_2_R2.fastq.gz,,,,
N17_2_3,N17_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N17_2_3_R1.fastq.gz,N17_2_3_R2.fastq.gz,,,,
N17_2_4,N17_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N17_2_4_R1.fastq.gz,N17_2_4_R2.fastq.gz,,,,
N18_1_2,N18_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N18_1_2_R1.fastq.gz,N18_1_2_R2.fastq.gz,,,,
N18_1_3,N18_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N18_1_3_R1.fastq.gz,N18_1_3_R2.fastq.gz,,,,
N18_1_4,N18_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N18_1_4_R1.fastq.gz,N18_1_4_R2.fastq.gz,,,,
N18_2_2,N18_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N18_2_2_R1.fastq.gz,N18_2_2_R2.fastq.gz,,,,
N18_2_3,N18_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N18_2_3_R1.fastq.gz,N18_2_3_R2.fastq.gz,,,,
N18_2_4,N18_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N18_2_4_R1.fastq.gz,N18_2_4_R2.fastq.gz,,,,
N19_1_2,N19_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N19_1_2_R1.fastq.gz,N19_1_2_R2.fastq.gz,,,,
N19_1_3,N19_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N19_1_3_R1.fastq.gz,N19_1_3_R2.fastq.gz,,,,
N19_1_4,N19_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N19_1_4_R1.fastq.gz,N19_1_4_R2.fastq.gz,,,,
N19_2_2,N19_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N19_2_2_R1.fastq.gz,N19_2_2_R2.fastq.gz,,,,
N19_2_3,N19_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N19_2_3_R1.fastq.gz,N19_2_3_R2.fastq.gz,,,,
N19_2_4,N19_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N19_2_4_R1.fastq.gz,N19_2_4_R2.fastq.gz,,,,
N20_1_2,N20_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N20_1_2_R1.fastq.gz,N20_1_2_R2.fastq.gz,,,,
N20_1_3,N20_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N20_1_3_R1.fastq.gz,N20_1_3_R2.fastq.gz,,,,
N20_1_4,N20_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N20_1_4_R1.fastq.gz,N20_1_4_R2.fastq.gz,,,,
N20_2_2,N20_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N20_2_2_R1.fastq.gz,N20_2_2_R2.fastq.gz,,,,
N20_2_3,N20_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N20_2_3_R1.fastq.gz,N20_2_3_R2.fastq.gz,,,,
N20_2_4,N20_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N20_2_4_R1.fastq.gz,N20_2_4_R2.fastq.gz,,,,
N21_1_2,N21_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N21_1_2_R1.fastq.gz,N21_1_2_R2.fastq.gz,,,,
N21_1_3,N21_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N21_1_3_R1.fastq.gz,N21_1_3_R2.fastq.gz,,,,
N21_1_4,N21_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N21_1_4_R1.fastq.gz,N21_1_4_R2.fastq.gz,,,,
N21_2_2,N21_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N21_2_2_R1.fastq.gz,N21_2_2_R2.fastq.gz,,,,
N21_2_3,N21_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N21_2_3_R1.fastq.gz,N21_2_3_R2.fastq.gz,,,,
N21_2_4,N21_2_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N21_2_4_R1.fastq.gz,N21_2_4_R2.fastq.gz,,,,
N22_1_2,N22_1_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N22_1_2_R1.fastq.gz,N22_1_2_R2.fastq.gz,,,,
N22_1_3,N22_1_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N22_1_3_R1.fastq.gz,N22_1_3_R2.fastq.gz,,,,
N22_1_4,N22_1_4,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N22_1_4_R1.fastq.gz,N22_1_4_R2.fastq.gz,,,,
N22_2_2,N22_2_2,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N22_2_2_R1.fastq.gz,N22_2_2_R2.fastq.gz,,,,
N22_2_3,N22_2_3,Microbiome,WGS,METAGENOMIC,RANDOM,paired,ILLUMINA,Illumina NovaSeq 6000,materials and methods,fastq,N22_2_3_R1.fastq.gz,N22_2_3_R2.fastq.gz,,,,
